source,destination,score
hsa-let-7a-3p,KMT2B,0.9355344176292419
hsa-let-7a-3p,POM121C,0.9355344176292419
hsa-let-7a-3p,DHRS11,0.9355344176292419
hsa-let-7a-3p,EGLN2,0.9326574206352234
hsa-let-7a-3p,TUBGCP5,0.9326574206352234
hsa-let-7a-3p,MARCKS,0.9326574206352234
hsa-let-7a-3p,PSMB3,0.9326574206352234
hsa-let-7a-3p,ZNHIT3,0.9326574206352234
hsa-let-7e-3p,POM121C,0.9247028231620789
hsa-let-7e-3p,MARCKS,0.9247028231620789
hsa-let-7e-3p,PSMB3,0.9247028231620789
hsa-let-7e-3p,DHRS11,0.9247028231620789
hsa-let-7e-3p,ZNHIT3,0.9247028231620789
hsa-let-7e-3p,KMT2B,0.9219827055931091
hsa-let-7e-3p,EGLN2,0.9219827055931091
hsa-let-7e-5p,EGLN2,0.8914664387702942
hsa-let-7a-2-3p,EGLN2,0.8914664387702942
hsa-let-7e-5p,MARCKS,0.8914664387702942
hsa-let-7a-2-3p,MARCKS,0.8914664387702942
hsa-let-7e-5p,DHRS11,0.8914664387702942
hsa-let-7a-2-3p,DHRS11,0.8914664387702942
hsa-let-7e-5p,KMT2B,0.8897262811660767
hsa-let-7a-2-3p,KMT2B,0.8897262811660767
hsa-let-7e-5p,PSMB3,0.8897262811660767
hsa-let-7a-2-3p,PSMB3,0.8897262811660767
hsa-let-7g-3p,KMT2B,0.7414072751998901
hsa-let-7i-5p,KMT2B,0.7359774708747864
hsa-let-7g-5p,KMT2B,0.7359774708747864
hsa-let-7g-5p,ZNHIT3,0.7359774708747864
hsa-let-7g-3p,ZNHIT3,0.7359774708747864
hsa-let-7i-5p,FBXO17,0.7359774708747864
hsa-let-7a-5p,KMT2B,0.6002030968666077
hsa-let-7b-3p,EGLN2,0.6002030968666077
hsa-let-7f-5p,KMT2B,0.6002030372619629
hsa-let-7d-5p,KMT2B,0.6002030372619629
hsa-let-7i-3p,KMT2B,0.6002030372619629
hsa-let-7f-1-3p,KMT2B,0.5955743193626404
hsa-let-7c-5p,KMT2B,0.5955743193626404
hsa-let-7f-2-3p,EGLN2,0.5955743193626404
hsa-let-7b-5p,KMT2B,0.5955742597579956
hsa-let-7d-3p,ZNHIT3,0.5955742597579956
